Time,Source,Destination,Protocol,Length,ICMP Type,ICMP Code,Traffic Rate,Packet Interval
1740599765.140613,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.140613,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.140613,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.140613,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.140613,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.140613,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.141659,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.142098,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.143823,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.144174,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.145778,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.145953,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.147329,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.148202,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.149161,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.149453,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.151461,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.151531,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.153348,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.153353,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.154691,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.155751,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.156251,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.157186,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.157438,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.158774,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.160226,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.160512,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.161522,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.161774,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.16208,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.162795,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.163732,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.164114,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.165846,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.166137,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.168337,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.168729,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.169788,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
